date,mtgox,btc-e,bitstamp,btcchina
2013-11-14 05:55:00 +0800,2659.85,2366.01,2405.21,2586.92
2013-11-14 06:55:00 +0800,2671.57,2398.16,2414.43,2582.77
2013-11-14 07:55:00 +0800,2624.0,2383.55,2389.01,2584.97
2013-11-14 08:55:00 +0800,2678.55,2438.04,2458.01,2624.01
2013-11-14 09:55:00 +0800,2688.37,2454.57,2465.9,2654.85
2013-11-14 10:55:00 +0800,2652.09,2476.08,2478.78,2681.6
2013-11-14 11:55:00 +0800,2638.01,2429.39,2442.95,2653.06
2013-11-14 12:55:00 +0800,2615.08,2429.1,2448.0,2648.49
2013-11-14 13:55:00 +0800,2499.69,2359.89,2404.91,2604.4
2013-11-14 14:55:00 +0800,2496.92,2354.2,2404.29,2588.63
2013-11-14 15:55:00 +0800,2573.32,2425.73,2453.04,2620.08
2013-11-14 16:55:00 +0800,2628.86,2461.53,2479.14,2649.48
2013-11-14 17:55:00 +0800,2553.88,2412.16,2450.98,2645.44
2013-11-14 18:55:00 +0800,2578.25,2426.65,2467.52,2649.8
2013-11-14 19:55:00 +0800,2658.48,2479.48,2521.78,2681.83
2013-11-14 20:55:00 +0800,2682.77,2482.88,2556.59,2672.89
2013-11-14 21:55:00 +0800,2660.71,2470.97,2547.04,2672.53
2013-11-14 22:55:00 +0800,2637.9,2447.02,2513.65,2643.52
2013-11-14 23:55:00 +0800,2659.62,2460.25,2535.25,2652.54
2013-11-15 00:55:00 +0800,2648.33,2460.07,2535.87,2650.26
2013-11-15 01:55:00 +0800,2636.22,2464.1,2532.83,2647.1
2013-11-15 02:55:00 +0800,2608.4,2444.81,2512.71,2643.1
2013-11-15 03:55:00 +0800,2575.71,2396.11,2476.72,2602.21
2013-11-15 04:55:00 +0800,2592.27,2424.33,2494.6,2639.83
2013-11-15 05:55:00 +0800,2621.7,2445.66,2521.02,2660.88
2013-11-15 06:55:00 +0800,2634.72,2445.4,2521.56,2675.09
2013-11-15 07:55:00 +0800,2638.37,2460.03,2510.33,2653.03
2013-11-15 08:55:00 +0800,2652.92,2448.4,2525.43,2654.43
2013-11-15 09:55:00 +0800,2602.25,2440.41,2509.03,2645.66
2013-11-15 10:55:00 +0800,2593.68,2439.96,2518.23,2630.89
2013-11-15 11:55:00 +0800,2625.13,2448.62,2514.88,2649.81
2013-11-15 12:55:00 +0800,2648.94,2456.31,2520.58,2656.88
2013-11-15 13:55:00 +0800,2588.8,2442.34,2518.37,2652.99
2013-11-15 14:55:00 +0800,2635.01,2459.31,2519.25,2651.57
2013-11-15 15:55:00 +0800,2644.03,2453.93,2512.25,2649.66
2013-11-15 16:55:00 +0800,2654.46,2460.13,2525.74,2647.92
2013-11-15 17:55:00 +0800,2715.3,2512.47,2554.29,2686.45
2013-11-15 18:55:00 +0800,2717.39,2507.98,2561.81,2683.55
2013-11-15 19:55:00 +0800,2726.88,2534.21,2570.21,2697.55
2013-11-15 20:55:00 +0800,2756.98,2570.86,2596.15,2747.02
2013-11-15 21:55:00 +0800,2741.55,2558.57,2606.63,2736.3
